类别,物品,单位,价格（元）,备注
磁控管类,磁控管,吨,11500,带铁
磁控管类,磁控管,吨,50000,不带铁
工具类,电动工具,吨,7400,
工具类,链子切割机,吨,4000,
工具类,电动工具铜转子,吨,13000,
线包/铜包类,小线包,吨,7200,最低
电动机类,电动机 (丫系列2-4级),吨,5800,原包装
电动机类,电动机 (丫系列2-4级),吨,5500,后修包
电动机类,电动机 (6-8级),吨,4700,
线包/铜包类,JO2，JO3系列 (铜包),吨,5200,
电动机类,铝壳电动机,吨,6200,
电动机类,调速电动机,吨,4000,
其他类,石板闸,吨,4000,
其他电子元件类,接线端子,吨,12000,铜
其他电子元件类,汽车继电器,吨,24000,货好加价
其他电子元件类,汽车继电器,吨,24000,
其他电子元件类,互感器,吨,2200,
其他电子元件类,大互感器,吨,5000,
其他电子元件类,DDF架,吨,80000 - 110000,铜
其他电子元件类,DDF架,吨,40000 - 60000,铝
其他电子元件类,电话模块,吨,19000,单面
其他电子元件类,电话模块,吨,26000,双面
其他电子元件类,银皮钽电容,公斤,2200,
磁铁类,电动车强磁铁,斤,55,
磁铁类,麻将机强磁铁,斤,45,
磁铁类,平衡车强磁铁,斤,45,
磁铁类,大块强磁铁,斤,50,
其他小型电子件类,电磁炉三极管,斤,35,吹下来的
其他小型电子件类,充电宝,吨,6000,
其他小型电子件类,电动工具电池,吨,5000,200斤以上加价
整机/面板类,插排插座,吨,6000,不带网口和铁
整机/面板类,插排插座,吨,3000,铁的
整机/面板类,矿机电源,吨,13000,带线
整机/面板类,游戏机面板,吨,14000,
整机/面板类,游戏机灯板和8字板,吨,8300,按杂板
整机/面板类,游戏机主板,斤,18,好点的
通讯线路板类,通讯主板,斤,45,最低
通讯线路板类,通讯线路板,元/斤,80,以上
通讯线路板类,通讯线路板,元/斤,80,以上
电源板类,电源板,斤,11,
付板类,付板,斤,25,
磁刚板类,16片带磁刚,斤,35,
磁刚板类,16片不带磁刚,斤,45,
磁刚板类,24片不带磁刚,斤,50,
磁刚板类,32片不带磁刚,斤,60,
马达板/磁刚板类,马达板 (就是磁刚板),斤,33,要求不带插头
豆板类,豆板,斤,45,要求不带插头
底板/主板类,底板,斤,80,不带丁
底板/主板类,底板,斤,70,带丁
底板/主板类,主板,斤,60,不带下面的铁板 (以照片为准)
电源类,电源,斤,11,要求不带铁
废铁类,废铁,吨,1800,
线路板类,花度线路板,斤,80,最低
线路板类,铝盒拆半度金线路板,斤,85,最低
线路板类,全度的线路板,斤,130,最低
线路板类,爱立信全度,斤,170,
底板/主板类,两边度白主板,斤,65,
底板/主板类,两边带度金,斤,80,
底板类,,,,底板种类太多，发照片报价格
变频器类,变频器,吨,14500,一吨起 (好的)
液晶屏类,小液晶屏 (带继电器黑表尾),吨,14000,
液晶屏类,黑表尾拆出来的线路板,吨,16000,
液晶屏类,大液晶小液晶 (白表尾),吨,12000,
液晶屏类,白表尾拆出来的线路板,吨,15000,
液晶屏类,特别小液晶屏,吨,8000,
液晶屏类,特别小液晶屏拆出来的线路板,吨,16000,
电子表类,轮电子表,吨,5500,
电子表类,轮电子表拆出来线路板,斤,8,
电子表类,假电子表,吨,1000,
电子表模块类,电子表模块,吨,12500,
电子表模块类,模块线路板,吨,28000,
开关类,白开关,吨,11800,2匹以上
开关类,白开关,吨,12000,1千斤以上
开关类,单皮电力,吨,9500,
开关类,单皮电动车,吨,7500,
电子元件类,小液晶表拆下来的板子,斤,12,带继电器的
继电器类,单独的继电器 (黑),斤,26,
继电器类,单独的继电器 (黄),斤,28,
继电器类,单独的继电器 (蓝),斤,28,
家电类,电磁炉玻璃,吨,2700,
家电类,整个的电磁炉 (好微晶玻璃),吨,3500,
家电类,坏玻璃的电磁炉,吨,3000,
家电类,电磁炉板,吨,13000,带铝
家电类,电磁炉板,吨,12000,不带铝 (要求不能去三极管跟排管)
智能设备类,光猫加路由器,吨,17500,
智能设备类,猫路由器线路板,吨,44000,
家电类,豆浆机头,吨,5000,
汽车电子类,汽车仪表盘,吨,4500,
杂料类,杂料,吨,3000,带点铜就可以
接触器类,32以下接触器,吨,24000,
空开类,空开,吨,8700,
线类,红蓝线,吨,53000, (不管多少都收)
通讯设备类,基站天线 (红蓝线),吨,53000,
通讯设备类,基站天线,吨,7500,带壳里面是铝的
通讯电源类,通讯电源 (带镀金),斤,11,不能带铁
铁壳交换机类,铁壳交换机,吨,14000 - 22000,最低
通讯设备类,整个的机顶盒 (大锅盒),吨,8000,
通讯设备类,纯铁壳的机顶盒,吨,8200,
通讯设备类,机顶合线路板,吨,44000,
通讯设备类,机顶合电源一体线路板,吨,36000,
通讯设备类,机顶合带桥线路板,吨,50000,
电脑主板类,汽车CD线路板,吨,36000,
电脑主板类,变频器上板,吨,36000,
电脑主板类,液晶电视主板,吨,36000,
DVD/VCD类,VCD DVD板,吨,60000,
电脑主板类,汽车电脑板,吨,76000,
游戏机相关,小手刷PS机,斤,5,最低
游戏机相关,对讲机,斤,8.5,起
打印机/复印机类,打印机复印件,吨,3500,
键盘类,键盘,吨,3200,
磁铁类,电动车强磁铁,斤,55,
磁铁类,电动机强磁,斤,50,
磁铁类,电表磁铁,斤,9, (要真的)
电表类,镍电瓶,吨,7000, (以照片为准)
中等线路板,带继电器线路板,吨,12000,继电器多的价格高 (具体发照片以实物为准)
空调线路板类,空调线路板,斤,8,最低 (不分黄蓝绿)
空调线路板类,智能空调线路板,斤,12,最低
电焊机线路板类,电焊机线路板,斤,6,最低
电焊机线路板类,电焊机线路板,斤,11,最低(好的)
电焊机线路板类,电焊机线路板,斤,15,带三极管，不带线包
控制器,整个控制器 (全线),吨,18200,不带压板
控制器,控制器 (去线),吨,14500,
转换器类,转换器,斤,6,
控制器,控制器线路板,斤,12,不去线 (不带铝条)
控制器,去半线的线路板,斤,12,
控制器,去完线线路板,斤,12,质量要求线路板上面不带铝
控制器,麻将机板,斤,14,
控制器,放大器板,斤,12,不带线包
控制器,电视电源一体板,斤,12,
控制器,电力板,吨,10000 - 150000,
稀有金属,可控硅,斤,45,
稀有金属,可控硅 (钼片),斤,160,
稀有金属,钼丝,斤,160,
稀有金属,钼铁,斤,80,
稀有金属,合金,斤,80, (吹下来的)
稀有金属,新废品,斤,80,
机井合类,机井合,吨,8000,
稀有金属,CT片,斤,13,质量要求，假的，过水的不收
磁控管类,磁控管,斤,25,
磁控管类,磁控管 (带铁),个,8.2,
磁控管类,磁控管 (带铁),吨,11500,过秤
游戏机面板类,游戏机面板,斤,7,
游戏机面板类,游戏机长条板,吨,8300,算杂板
机械电表类,机械表 (三相四线862),个,38,
机械电表类,机械表 (三相三线862),个,28,
机械电表类,机械表 (DT8三相四线),个,28,
机械电表类,机械表 (DT8三相三线),个,23,
机械电表类,机械表 (DD862),个,16,
机械电表类,机械表 (DD28),个,11,
机械电表类,各种电表,个,10, (不分磁铁真假，大小线包，铁架，塑料架，铝架)
机械电表类,机械表 (三相四线862）,个,15,铝包
灯板类,长条灯板,吨,3000,
灯板类,灯板 (黑塑料边),吨,4600,
灯板类,白面灯板,吨,5000,
灯板类,被面黑面灯板,吨,6000,
灯板类,单层3个灯,吨,5000,
灯板类,双层3个灯 (银),吨,6000,
灯板类,双层三个灯 (金丝),吨,16000,
灯板类,灯板 (金丝),张, 10 - 150, (点个的开始收，以照片和实物为准)
继电器类,汽车继电器,吨,24000,以上
继电器类,大透明继电器,吨,24000,
继电器类,小透明继电器,吨,50000,
变频器废模块类,变频器废模块 (厚铜),斤,22,
变频器废模块类,变频器废模块 (中厚铜),斤,18,
变频器废模块类,变频器废模块 (薄铜),斤,8,
插排插座类,插排插座,吨,6000, (质量要求带网口的和带铁的不行)
插排插座类,插排插座,吨,3000,铁的
电脑类,双桥,吨,130000,
电脑类,单桥,吨,66000,
电脑类,无桥,吨,31000,
电脑类,电源,吨,11000,
电脑类,光驱,吨,9200,
电脑类,硬盘,吨,30000,
电脑类,显卡网卡,吨,53000,不带铝
电脑类,带铝显卡,吨,30000,
CPU类,CPU (全针),个,8.2,
CPU类,CPU (半针),个,7.2,
CPU类,CPU (平面),个,4.2,
CPU类,CPU (水度的),斤,180,
CPU类,CPU (电度的),斤,330,
CPU类,CPU (陶瓷双黄),个,150, (发照片报价格)
显卡类,带桥显卡,斤,90,
电脑整机类,整个电脑,个,75 - 120, (16斤以上，不缺东西，无桥75，单桥85，双桥120，要求主板9两以上，CPU，内存，显卡，电源，硬盘，光驱，整个机箱，缺东西扣钱)
电容类,电热电容,吨,9000,起
电容类,变频器电容,吨,4000,不看容量
电容类,配电柜电容,吨,2500, (3.5斤以上，不起包，也要看型号)
电容类,线路板上面小电容,吨,2000,
电容类,电力高压电容,吨,2600,起
电容类,其他电容,, , (品种太多，发照片报价格)
联系方式13500450043,,,,
